Problem,Initial_SPT,Initial_Regret3,Best_Tardiness,Solve_Time
instance_1.prob,7710.662278185489,4657.729680829877,4646.779695427199,5.18124794960022
instance_10.prob,7567.181034677514,4610.998032990604,4564.402897810235,5.386694669723511
instance_11.prob,8020.506185926881,3941.824988846029,3911.8458176575796,5.154415845870972
instance_12.prob,10499.246764472831,5205.461467274896,5168.48720302966,5.607332468032837
instance_13.prob,4900.708234765177,1948.858118974073,1917.76082286916,5.003801345825195
instance_14.prob,5071.22464366258,2304.461610018469,2285.207651453909,5.014425992965698
instance_15.prob,17285.25287610537,8136.399903516109,8054.528230847973,5.574082136154175
instance_16.prob,8764.171629537588,3627.9028711219285,3590.132674253265,5.011105537414551
instance_17.prob,17007.12194595913,9592.53466969315,9560.055495390921,5.144105911254883
instance_18.prob,1408.1735355195658,543.8686658001262,536.6792043329032,5.000901699066162
instance_19.prob,4916.310241267015,2332.0066504440806,2310.3003556967196,5.04176139831543
instance_2.prob,3260.532509097217,1580.844208497748,1560.314911918604,5.032765865325928
instance_20.prob,438.42221159889465,75.78550950771007,75.78550950771007,5.002545118331909
instance_21.prob,22890.97666591481,12772.002277636353,12698.519272165993,9.232283115386963
instance_22.prob,1516.4697753577175,498.529912612832,490.387968621742,5.001303195953369
instance_23.prob,2955.075284345247,1210.7752397293814,1201.247629489247,5.002115488052368
instance_24.prob,14365.300677081112,5648.890961401778,5583.3125640574235,5.490980386734009
instance_25.prob,4932.351987885281,2274.457697457001,2262.5444389935774,5.020541667938232
instance_26.prob,1601.7473390212028,823.8028153559992,805.7406843191817,5.021086931228638
instance_27.prob,3154.056594400548,1487.1933734019967,1474.654567916591,5.051299095153809
instance_28.prob,1004.685787509198,338.46351951522604,333.4119325063768,5.0023088455200195
instance_29.prob,2233.0683062014923,722.0835232634724,714.2676758989056,5.031696557998657
instance_3.prob,375.1205704439753,70.88026410140512,70.88026410140512,5.0035693645477295
instance_30.prob,2009.7294240382798,723.5084009303118,720.2812620656337,5.002228260040283
instance_4.prob,5848.145325517322,2501.1249403617217,2484.193029500213,5.081675052642822
instance_5.prob,4626.4862923099545,2171.6641404364077,2145.748057833215,5.05493426322937
instance_6.prob,791.8839763705794,238.57535004065863,236.7732659660183,5.000329971313477
instance_7.prob,2923.2626657920796,1399.1917068121875,1387.3971843136392,5.012059926986694
instance_8.prob,2656.131555136746,1250.1606910453856,1242.938973350854,5.0176122188568115
instance_9.prob,5444.743402280131,3110.8965935991173,3084.0532587293887,5.007162809371948
