num_job,num_mch,pop_size,step_size,restart_ratio,mean_obj,std_obj,min_obj,max_obj,mean_time,best_run_obj,best_run_seed,ga_obj_fixed,ga_time_fixed
50,2,30,0.3,0.2,173357.1,5391.053912733576,164546.0,184911.0,60.04613656997681,164546,1000,140820,60.01425123214722
50,2,30,0.3,0.3,173089.1,6639.58348768957,160726.0,180426.0,60.065073132514954,160726,1005,140820,60.01425123214722
50,2,50,0.05,0.1,176197.8,8877.172813458123,159509.0,188886.0,60.11458480358124,159509,1008,140820,60.01425123214722
50,2,50,0.05,0.2,177097.6,7225.98435093794,163999.0,188647.0,60.10072295665741,163999,1005,140820,60.01425123214722
50,2,50,0.05,0.3,177934.9,8930.410365151201,162778.0,192099.0,60.1135511636734,162778,1006,140820,60.01425123214722
50,2,50,0.15,0.1,172050.7,6411.203163993479,160684.0,183890.0,60.112602066993716,160684,1005,140820,60.01425123214722
50,2,50,0.15,0.2,172342.1,6845.769941357948,160810.0,187489.0,60.08440477848053,160810,1003,140820,60.01425123214722
50,2,50,0.15,0.3,170832.2,7732.005700980826,162196.0,190334.0,60.14084393978119,162196,1001,140820,60.01425123214722
50,2,50,0.3,0.1,174631.3,6447.036622356042,164398.0,185199.0,60.10822327136994,164398,1003,140820,60.01425123214722
50,2,50,0.3,0.2,172782.6,5881.0412717477175,165129.0,187389.0,60.12079827785492,165129,1009,140820,60.01425123214722
50,2,50,0.3,0.3,168221.5,4216.308794431452,160427.0,174435.0,60.07857522964478,160427,1007,140820,60.01425123214722
100,2,10,0.05,0.1,899215.8,18426.094425026702,865788.0,930001.0,60.07405166625976,865788,1005,681579,60.61013054847717
100,2,10,0.05,0.2,887922.8,20919.165575137074,849587.0,922525.0,60.09444947242737,849587,1006,681579,60.61013054847717
100,2,10,0.05,0.3,897933.1,20802.83801528051,866847.0,937497.0,60.071520280838016,866847,1006,681579,60.61013054847717
100,2,10,0.15,0.1,838955.8,44839.358688099004,782926.0,919453.0,60.08663711547852,782926,1007,681579,60.61013054847717
100,2,10,0.15,0.2,838586.1,25904.915450354205,794594.0,880343.0,60.09744322299957,794594,1006,681579,60.61013054847717
100,2,10,0.15,0.3,850419.5,37368.047996249414,786312.0,917011.0,60.066373348236084,786312,1003,681579,60.61013054847717
100,2,10,0.3,0.1,836465.0,31808.29893282569,782405.0,873233.0,60.0719619512558,782405,1007,681579,60.61013054847717
100,2,10,0.3,0.2,820782.6,17528.393937836972,782418.0,851247.0,60.07019007205963,782418,1005,681579,60.61013054847717
100,2,10,0.3,0.3,830680.8,19945.735763816785,783892.0,851491.0,60.05633802413941,783892,1007,681579,60.61013054847717
100,2,30,0.05,0.1,879907.4,24373.77916614492,849265.0,914742.0,60.21633641719818,849265,1001,681579,60.61013054847717
100,2,30,0.05,0.2,878883.0,29760.646831008227,822474.0,920738.0,60.24527854919434,822474,1001,681579,60.61013054847717
100,2,30,0.05,0.3,876245.5,31822.865748546283,816336.0,919679.0,60.21814868450165,816336,1006,681579,60.61013054847717
100,2,30,0.15,0.1,852258.5,38138.001057344365,788848.0,916326.0,60.21888840198517,788848,1007,681579,60.61013054847717
100,2,30,0.15,0.2,845240.6,33910.68043905931,807520.0,914742.0,60.34624252319336,807520,1009,681579,60.61013054847717
100,2,30,0.15,0.3,853247.4,36587.94411059468,792096.0,914742.0,60.22378835678101,792096,1000,681579,60.61013054847717
100,2,30,0.3,0.1,838661.4,31371.48932135674,800894.0,914742.0,60.28685345649719,800894,1006,681579,60.61013054847717
100,2,30,0.3,0.2,839500.2,27339.674375529783,806077.0,901301.0,60.24215805530548,806077,1000,681579,60.61013054847717
100,2,30,0.3,0.3,828549.6,40873.96045210202,772758.0,914742.0,60.29306526184082,772758,1001,681579,60.61013054847717
100,2,50,0.05,0.1,885988.8,30339.31778995698,838218.0,929302.0,60.307449913024904,838218,1003,681579,60.61013054847717
100,2,50,0.05,0.2,880263.1,26845.848395794834,837286.0,925631.0,60.324764657020566,837286,1003,681579,60.61013054847717
100,2,50,0.05,0.3,876632.1,23718.03527887586,833784.0,914742.0,60.49129734039307,833784,1003,681579,60.61013054847717
100,2,50,0.15,0.1,859691.7,27832.119897880577,813391.0,914742.0,60.28570613861084,813391,1005,681579,60.61013054847717
100,2,50,0.15,0.2,849517.5,30365.697420773988,806959.0,899316.0,60.29541282653808,806959,1003,681579,60.61013054847717
100,2,50,0.15,0.3,846181.1,38535.17222603267,789498.0,921549.0,60.43642709255219,789498,1001,681579,60.61013054847717
100,2,50,0.3,0.1,834877.7,32123.573247850247,795704.0,910898.0,60.430093669891356,795704,1007,681579,60.61013054847717
100,2,50,0.3,0.2,862896.0,26563.71957388498,825124.0,914742.0,60.46289155483246,825124,1001,681579,60.61013054847717
100,2,50,0.3,0.3,831329.8,37504.65261750867,784749.0,896506.0,60.339904356002805,784749,1006,681579,60.61013054847717
