요일구분,K,candidate_events,available_profit,covered_events,covered_profit,covered_profit_ratio,status,objective,objective_bound,mip_gap,runtime_sec,node_count,service_mode,top_n,min_ratio
평일,1,147,3615.3000000000006,17,715.2,0.1978259065637706,OPTIMAL,715.2,715.2,0.0,0.4739999771118164,1.0,capped,0,0.0
평일,2,147,3615.3000000000006,35,1270.8999999999996,0.3515337593007494,OPTIMAL,1270.8999999999999,1270.9,0.0,1.3910000324249268,1.0,capped,0,0.0
평일,3,147,3615.3000000000006,51,1786.1999999999996,0.4940668824163968,OPTIMAL,1786.1999999999998,1786.2000000000003,0.0,2.4580001831054688,1.0,capped,0,0.0
평일,4,147,3615.3000000000006,67,2250.6,0.6225209526180399,OPTIMAL,2250.6,2250.6,0.0,2.3550000190734863,1.0,capped,0,0.0
평일,5,147,3615.3000000000006,84,2672.4,0.7391917683179818,OPTIMAL,2672.3999999999996,2672.4,0.0,3.7940001487731934,13.0,capped,0,0.0
토요일,1,126,2304.5000000000027,20,541.3,0.23488826209589903,OPTIMAL,541.3,541.3000000000001,0.0,0.252000093460083,1.0,capped,0,0.0
토요일,2,126,2304.5000000000027,38,996.3,0.4323280538077669,OPTIMAL,996.3000000000002,996.3000000000002,0.0,0.8370001316070557,1.0,capped,0,0.0
토요일,3,126,2304.5000000000027,55,1351.1000000000001,0.586287697982208,OPTIMAL,1351.1,1351.1000000000004,0.0,0.9210000038146973,1.0,capped,0,0.0
토요일,4,126,2304.5000000000027,72,1637.3999999999999,0.7105228899978294,OPTIMAL,1637.4,1637.4,0.0,1.684999942779541,1.0,capped,0,0.0
토요일,5,126,2304.5000000000027,87,1876.5999999999997,0.8143198090692113,OPTIMAL,1876.6,1876.6,0.0,2.0850000381469727,1.0,capped,0,0.0
일요일,1,126,1747.9000000000005,19,398.09999999999997,0.22775902511585322,OPTIMAL,398.1,398.1,0.0,0.6470000743865967,1.0,capped,0,0.0
일요일,2,126,1747.9000000000005,37,727.1999999999999,0.41604210767206345,OPTIMAL,727.1999999999999,727.2,0.0,1.7780001163482666,1.0,capped,0,0.0
일요일,3,126,1747.9000000000005,53,994.3000000000001,0.5688540534355511,OPTIMAL,994.3,994.3000000000001,0.0,5.18999981880188,124.0,capped,0,0.0
일요일,4,126,1747.9000000000005,69,1211.6,0.6931746667429484,OPTIMAL,1211.6,1211.6000000000001,0.0,8.367000102996826,2708.0,capped,0,0.0
일요일,5,126,1747.9000000000005,85,1382.7999999999997,0.7911207734996277,OPTIMAL,1382.8000000000002,1382.8000000000002,0.0,80.84800004959106,22111.0,capped,0,0.0
공휴일,1,96,1661.1000000000013,18,513.6,0.3091927036301244,OPTIMAL,513.6,513.6,0.0,0.5069999694824219,1.0,capped,0,0.0
공휴일,2,96,1661.1000000000013,36,907.2,0.54614412136536,OPTIMAL,907.2,907.2,0.0,2.0440001487731934,1.0,capped,0,0.0
공휴일,3,96,1661.1000000000013,55,1194.1000000000001,0.7188609957257235,OPTIMAL,1194.0999999999997,1194.1000000000004,0.0,12.105999946594238,3038.0,capped,0,0.0
공휴일,4,96,1661.1000000000013,72,1394.1,0.8392631388838714,OPTIMAL,1394.1,1394.1000000000006,0.0,36.58400011062622,1879.0,capped,0,0.0
공휴일,5,96,1661.1000000000013,84,1514.3000000000002,0.9116248269219186,OPTIMAL,1514.3,1514.3000000000004,0.0,43.52900004386902,1749.0,capped,0,0.0
