num_job,num_mch,pop_size,mean_obj,std_obj,min_obj,max_obj,mean_time,best_run_obj,best_run_seed,ga_obj_fixed,ga_time_fixed
10,2,10,3907.6,31.199999999999996,3892.0,3970.0,60.0058675289154,3892,1000,4083,60.01797413825989
10,2,30,3915.4,35.74409042065555,3892.0,3970.0,60.00874993801117,3892,1000,4083,60.01797413825989
10,2,50,3931.0,39.0,3892.0,3970.0,60.0189325094223,3892,1000,4083,60.01797413825989
50,2,10,150131.7,15237.344053672872,133116.0,185536.0,60.03643770217896,133116,1005,141436,60.22176384925842
50,2,30,152928.9,10947.467364189766,136803.0,170190.0,60.11736845970154,136803,1002,141436,60.22176384925842
50,2,50,151919.9,10702.833815863909,136614.0,170272.0,60.19413914680481,136614,1004,141436,60.22176384925842
100,2,10,805723.2,34870.18347757866,759689.0,855192.0,60.20289158821106,759689,1004,694377,60.43551421165466
100,2,30,792101.8,33014.72126127979,719084.0,831812.0,60.39131953716278,719084,1007,694377,60.43551421165466
100,2,50,781857.5,39163.77556939576,707293.0,852517.0,60.628956985473636,707293,1005,694377,60.43551421165466
