Problem,Initial_SPT,Initial_Regret3,Best_Tardiness,Solve_Time
instance_1.prob,7710.662278185489,4657.729680829877,4618.420724009629,5.79711389541626
instance_10.prob,7567.181034677514,4610.998032990604,4564.402897810235,7.2575719356536865
instance_11.prob,8020.506185926881,3941.824988846029,3911.519082973367,5.5395543575286865
instance_12.prob,10499.246764472831,5205.461467274896,5175.171579425672,5.129053354263306
instance_13.prob,4900.708234765177,1948.858118974073,1918.7579888699493,5.018903732299805
instance_14.prob,5071.22464366258,2304.461610018469,2285.7165947714116,5.032634973526001
instance_15.prob,17285.25287610537,8136.399903516109,8054.528230847973,5.400089979171753
instance_16.prob,8764.171629537588,3627.9028711219285,3581.742332159172,5.553407669067383
instance_17.prob,17007.12194595913,9592.53466969315,9560.055495390921,6.6381988525390625
instance_18.prob,1408.1735355195658,543.8686658001262,536.6792043329032,5.0199456214904785
instance_19.prob,4916.310241267015,2332.0066504440806,2318.111591172794,5.008241176605225
instance_2.prob,3260.532509097217,1580.844208497748,1564.4468229633246,5.295132160186768
instance_20.prob,438.42221159889465,75.78550950771007,75.78550950771007,5.00163722038269
instance_21.prob,22890.97666591481,12772.002277636353,12698.519272165993,7.2417848110198975
instance_22.prob,1516.4697753577175,498.529912612832,490.49804967711054,5.0044941902160645
instance_23.prob,2955.075284345247,1210.7752397293814,1201.247629489247,5.001326560974121
instance_24.prob,14365.300677081112,5648.890961401778,5578.590683010871,5.1455981731414795
instance_25.prob,4932.351987885281,2274.457697457001,2262.5444389935774,5.045920133590698
instance_26.prob,1601.7473390212028,823.8028153559992,805.7406843191817,5.00385594367981
instance_27.prob,3154.056594400548,1487.1933734019967,1473.45826467493,5.046767234802246
instance_28.prob,1004.685787509198,338.46351951522604,333.4119325063768,5.0081257820129395
instance_29.prob,2233.0683062014923,722.0835232634724,715.8456407024642,5.024511098861694
instance_3.prob,375.1205704439753,70.88026410140512,70.88026410140512,5.002267122268677
instance_30.prob,2009.7294240382798,723.5084009303118,720.2812620656337,5.0055694580078125
instance_4.prob,5848.145325517322,2501.1249403617217,2492.075812461485,5.067627429962158
instance_5.prob,4626.4862923099545,2171.6641404364077,2145.748057833215,5.089897871017456
instance_6.prob,791.8839763705794,238.57535004065863,236.7732659660183,5.007001638412476
instance_7.prob,2923.2626657920796,1399.1917068121875,1387.197466634196,5.020152568817139
instance_8.prob,2656.131555136746,1250.1606910453856,1241.722131105149,5.012621879577637
instance_9.prob,5444.743402280131,3110.8965935991173,3085.000684149315,5.4035162925720215
