Problem,Initial_Tardiness,Final_Tardiness,Dispatch_Time(s),Total_Time(s),Status
instance_1.prob,8462.659636415674,7705.87673459395,0.0004756450653076172,2.053670644760132,DONE
instance_10.prob,8415.088697756531,7537.835533033557,0.0003139972686767578,2.0363972187042236,DONE
instance_11.prob,8108.350143499072,7174.577573585455,0.00031304359436035156,2.0073306560516357,DONE
instance_12.prob,11845.807465412978,9851.846132124534,0.0004999637603759766,2.0350146293640137,DONE
instance_13.prob,5172.874363280376,4280.663568304668,0.00033783912658691406,2.0223944187164307,DONE
instance_14.prob,5220.454396736338,4608.305287331232,0.0007174015045166016,2.0220394134521484,DONE
instance_15.prob,18141.5940802708,15130.231685240937,0.0003566741943359375,2.003156900405884,DONE
instance_16.prob,10449.200485304962,8691.747605082548,0.0007326602935791016,2.003706455230713,DONE
instance_17.prob,17681.42176116087,17095.239874891708,0.00032973289489746094,2.02276349067688,DONE
instance_18.prob,1572.110042970235,1126.0990079075611,0.00023555755615234375,0.6639795303344727,DONE
instance_19.prob,5595.809902282659,4562.382144856293,0.00032258033752441406,2.056061029434204,DONE
instance_2.prob,3900.4118326080757,3234.7634527668083,0.0005552768707275391,2.054521083831787,DONE
instance_20.prob,453.93278638587304,294.5462047994858,0.0002701282501220703,0.04907059669494629,DONE
instance_21.prob,25013.768553049173,23119.93447058973,0.00040459632873535156,2.027381420135498,DONE
instance_22.prob,1660.88820983265,1082.6987036645999,0.0001838207244873047,0.620323657989502,DONE
instance_23.prob,3056.2078765839356,2066.159564576641,0.000244140625,1.723761796951294,DONE
instance_24.prob,16268.30037669131,13393.112050818116,0.0003733634948730469,2.01318097114563,DONE
instance_25.prob,5218.942050372363,4043.154983208496,0.0003204345703125,2.0216569900512695,DONE
instance_26.prob,1672.009819004979,1214.9455348856727,0.00015616416931152344,0.5979330539703369,DONE
instance_27.prob,3385.460744983202,2427.2624443610016,0.0002243518829345703,2.001690626144409,DONE
instance_28.prob,1098.494609823337,721.9478195414142,0.00010848045349121094,0.11881804466247559,DONE
instance_29.prob,2157.488368182221,1567.6488506183869,0.00015687942504882812,0.5561554431915283,DONE
instance_3.prob,375.90871986147147,280.94236054122734,0.00011134147644042969,0.012599468231201172,DONE
instance_30.prob,1850.046248956161,1321.1639680697897,0.0001900196075439453,0.8103921413421631,DONE
instance_4.prob,5984.8168733330185,5023.80651613041,0.0002951622009277344,2.033806085586548,DONE
instance_5.prob,4698.138479232711,3786.053308869926,0.0002269744873046875,2.0135371685028076,DONE
instance_6.prob,713.2415956929789,554.6557503946276,0.00017786026000976562,0.1450209617614746,DONE
instance_7.prob,3358.8432109487135,2437.68164865303,0.00020194053649902344,2.0272412300109863,DONE
instance_8.prob,3222.0100653545396,2123.226924311852,0.00017976760864257812,1.2021667957305908,DONE
instance_9.prob,5758.594202265137,5147.932861718595,0.0002980232238769531,2.0189359188079834,DONE
